NOM_ENT,INGRESO_TRI
Aguascalientes,2612017.6246544234
Baja California,7118156.720996196
Baja California Sur,1972358.4858085075
Campeche,1623874.420688635
Coahuila de Zaragoza,4099684.8926164936
Colima,1329311.7213838266
Chiapas,6691835.022538077
Chihuahua,5100748.099596034
Ciudad de México,23978874.55823388
Durango,2619299.815329004
Guanajuato,8918310.358198006
Guerrero,4050379.866203756
Hidalgo,5459425.175630567
Jalisco,18794355.842137784
México,21778596.344443917
Michoacán de Ocampo,9218251.005971575
Morelos,3348328.0360292294
Nayarit,2772170.5269255308
Nuevo León,11703349.77376948
Oaxaca,4782429.777836675
Puebla,11298167.30279339
Querétaro,4038387.06033872
Quintana Roo,3877561.465866679
San Luis Potosí,4826369.581044023
Sinaloa,4481075.588567652
Sonora,6063606.785011552
Tabasco,4099140.450921359
Tamaulipas,7606075.635562822
Tlaxcala,2208885.361796617
Veracruz de Ignacio de la Llave,10571565.6187516
Yucatán,3451837.6432020105
Zacatecas,2426348.4434619364
